Date,BMeasurement,Units,BAQI,BCity,BLat,BLon,Type,CMeasurement,CAQI,CCity,CLat,CLon,LMeasurement,LAQI,LCity,LLat,LLon,AMeasurement,AAQI,ACity,ALat,ALon
1/1/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/2/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,1.1,13,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/3/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,1.3,15,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/4/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/5/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/7/2016,1.2,ppm,14,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/8/2016,1,ppm,11,"Boston, MA",42.3295,-71.0826,CO,0.4,5,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/9/2016,0.5,ppm,6,"Boston, MA",42.3295,-71.0826,CO,0.4,5,"Chicago, IL",42.13999619,-87.79922692,0.5,6,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/10/2016,0.5,ppm,6,"Boston, MA",42.3295,-71.0826,CO,0.4,5,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/11/2016,0.2,ppm,2,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
1/12/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,1,11,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
