Column1,Column2,Number
-1.26E+02,-5.26E+00,1
-3.22E+01,-5.83E+00,2
9.72E+01,-5.47E+00,3
2.06E+02,1.86E+01,4
-1.36E+02,-2.16E+01,5
-3.25E+01,-2.34E+01,6
1.07E+02,-2.65E+01,7
2.17E+02,-8.33E+00,8
2.17E+02,-3.91E+01,9
-1.31E+02,1.25E+01,10
-3.27E+01,1.30E+01,11
1.02E+02,1.42E+01,12
2.12E+02,1.19E+01,13
-2.60E+02,-6.65E+00,14
-2.50E+02,1.43E+01,15
-4.32E+01,-2.56E+01,16
-2.60E+02,-1.28E+01,17
-2.50E+02,8.10E+00,18
-4.37E+01,-1.46E+01,19
6.31E+01,-3.90E+01,20
-1.99E+02,-1.20E+01,21
-9.40E+01,-1.14E+01,22
4.59E+01,-1.68E+01,23
1.55E+02,-4.82E+01,24
-1.97E+02,-2.04E+01,25
-2.48E+01,-1.82E+01,26
-1.87E+02,-2.50E+01,27
6.71E+00,-2.12E+01,28
-1.59E+02,-6.29E+00,29
3.06E+00,-5.84E+00,30
-1.25E+02,-3.41E+01,31
5.41E+01,-4.19E+01,32
-1.46E+02,3.61E+01,33
1.54E+01,3.66E+01,34
-1.73E+02,4.80E+00,35
-7.64E+01,5.07E+00,36
7.48E+01,7.88E+00,37
-1.75E+02,-8.36E+00,38
-7.59E+01,-6.70E+00,39
7.56E+01,-9.48E+00,40
-1.21E+02,2.72E+00,41
5.16E+01,-6.89E-01,42
-1.47E+02,-1.81E+01,43
7.46E+01,-1.59E+01,44
-1.80E+02,-7.57E+00,45
-1.54E+00,-1.29E+01,46
-2.06E+02,-1.20E+01,47
2.05E+01,-1.13E+01,48
-1.23E+02,3.76E+00,49
-4.22E+01,7.98E+00,50
6.07E+01,7.27E+00,51
-1.61E+02,1.77E+01,52
-3.12E+01,3.35E+01,53
-1.41E+02,4.53E+00,54
1.58E+01,-2.92E+01,55
-1.84E+02,-4.35E+01,56
-3.32E+01,-3.92E+01,57
-1.58E+02,-3.61E+01,58
3.73E+00,-3.57E+01,59
-1.24E+02,-1.39E+01,60
7.00E+01,-1.33E+01,61
-1.40E+02,-1.92E+01,62
2.13E+01,-1.87E+01,63
-9.13E+01,-1.93E+01,64
1.30E+02,-1.72E+01,65
-1.47E+02,-3.22E+01,66
-5.56E+01,-1.49E+01,67
8.02E+01,1.99E+01,68
-1.34E+02,-7.47E+01,69
-3.72E+01,-7.45E+01,70
7.06E+01,-7.25E+01,71
1.68E+02,-9.13E+01,72
-1.41E+02,1.09E+01,73
-3.24E+01,1.94E+01,74
7.62E+01,2.17E+01,75
-1.44E+02,-1.80E+01,76
-4.72E+01,-1.77E+01,77
