state,year,cause
CA,2017,racism
PA,2017,terrorism
FL,2017,terrorism
FL,2017,unemployement
TX,2017,unknown
CO,2017,unknown
MD,2017,unknown
NV,2017,unknown
CA,2017,unknown
OH,2017,unknown
NM,2016,anger
TN,2016,anger
AT,2016,anger
GA,2016,anger
KS,2016,anger
MI,2016,anger
FL,2016,anger
NY,2016,anger
LA,2016,anger
AZ,2016,anger
TX,2016,domestic dispute
TN,2016,domestic dispute
AL,2016,domestic dispute
TX,2016,domestic dispute
KY,2016,domestic dispute
GA,2016,domestic dispute
WA,2016,domestic dispute
MS,2016,domestic dispute
MD,2016,frustration
VA,2016,frustration
KS,2016,psycho
WA,2016,psycho
AZ,2016,psycho
MI,2016,psycho
TX,2016,psycho
VA,2016,psycho
VA,2016,psycho
TX,2016,racism
WA,2016,terrorism
CA,2016,terrorism
NC,2016,terrorism
AL,2016,terrorism
PA,2016,terrorism
PA,2016,terrorism
MA,2016,terrorism
FL,2016,terrorism
LA,2016,terrorism
LA,2016,unknown
FL,2016,unknown
MO,2016,unknown
MD,2016,unknown
VA,2016,unknown
IL,2016,unknown
AL,2016,unknown
IL,2016,unknown
NM,2016,unknown
FL,2016,unknown
FL,2016,unknown
NJ,2016,unknown
MI,2016,unknown
KS,2016,unknown
LA,2016,unknown
KS,2016,unknown
PA,2016,unknown
VA,2016,unknown
KS,2016,unknown
MO,2016,unknown
TX,2016,unknown
MI,2016,unknown
MI,2016,unknown
CA,2016,unknown
FL,2016,unknown
CA,2016,unknown
CA,2016,unknown
FL,2016,unknown
VA,2016,unknown
DE,2016,unknown
TN,2016,unknown
FL,2016,unknown
AZ,2015,anger
FL,2015,anger
NC,2015,anger
NC,2015,anger
TN,2015,anger
FL,2015,domestic dispute
ME,2015,domestic dispute
IL,2015,domestic dispute
WI,2015,domestic dispute
GA,2015,psycho
TN,2015,psycho
VA,2015,psycho
GA,2015,psycho
OH,2015,psycho
GA,2015,psycho
AZ,2015,psycho
NM,2015,psycho
AL,2015,psycho
MO,2015,psycho
GA,2015,psycho
NC,2015,psycho
GA,2015,psycho
NY,2015,psycho
