Year,Make,Model,Quantity,Country,MakeSum,CountrySum,,
2010,Volvo ,Volvo V50,1766,China,7178,7178,,
2010,Volvo ,Volvo V70,4635,China,,,,
2010,Volvo ,Volvo XC60,777,China,,,,
2011,Volvo ,Volvo V50,1580,China,3165,3476,,
2011,Volvo ,Volvo V60,2268,China,311,,,
2011,Volvo ,Volvo V70,4052,China,,,,
2011,Volvo ,Volvo XC60,1922,China,,,,
2012,Volvo ,Volvo V50,2320,China,10885,10885,,
2012,Volvo ,Volvo V60,2860,China,,,,
2012,Volvo ,Volvo V70,3860,China,,,,
2012,Volvo ,Volvo XC60,1815,China,,,,
2013,Volvo ,Volvo V40,2403,China,8860,8860,,
2013,Volvo ,Volvo V60,2407,China,,,,
2013,Volvo ,Volvo V70,3172,China,,,,
2013,Volvo ,Volvo XC60,878,China,,,,
2014,Volvo ,Volvo V40,2009,China,6284,6284,,
2014,Volvo ,Volvo V70,3101,China,,,,
2014,Volvo ,Volvo XC60,1174,China,,,,
2015,Volvo ,Volvo V40,400,China,5552,5552,,
2015,Volvo ,Volvo V60,553,China,,,,
2015,Volvo ,Volvo V70,2611,China,,,,
2015,Volvo ,Volvo XC60,1988,China,,,,
2016,Volvo ,Volvo V40,226,China,3054,3054,,
2016,Volvo ,Volvo V70,1116,China,,,,
2016,Volvo ,Volvo XC60,646,China,,,,
2016,Volvo ,Volvo XC90,1066,China,,,,
2010,Peugeot ,Peugeot 207,171,France,3647,3647,,
2010,Peugeot ,Peugeot 3008,3165,France,,,,
2010,Peugeot ,Peugeot 308,311,France,,,,
2011,Peugeot ,Peugeot 3008,1167,France,2558,2558,,311
2011,Peugeot ,Peugeot 508,1391,France,,,,
2012,Peugeot ,Peugeot 208,333,France,1519,1519,,
2012,Peugeot ,Peugeot 508,1186,France,,,,
2013,Peugeot ,Peugeot 2008,72,France,1566,1566,,
2013,Peugeot ,Peugeot 208,1194,France,,,,
2013,Peugeot ,Peugeot 508,300,France,,,,
2014,Peugeot ,Peugeot 2008,383,France,943,943,,
2014,Peugeot ,Peugeot 308,560,France,,,,
2015,Peugeot ,Peugeot 308,1468,France,2496,2496,,
2015,Renault ,Renault Zoe,1028,France,,,,
2016,Peugeot ,Peugeot 2008,260,France,3033,3033,,
2016,Peugeot ,Peugeot 308,1176,France,,,,
2016,Renault ,Renault Zoe,1597,France,,,,
2010,Audi ,Audi A3,635,Germany,3911,23964,,
2010,Audi ,Audi A4,3276,Germany,,,,
2010,Opel ,Opel Astra,1202,Germany,1202,,,
2010,Skoda ,Skoda Octavia,1897,Germany,1897,,,
2010,Volkswagen ,Volkswagen Golf,8229,Germany,16954,,,
2010,Volkswagen ,Volkswagen Passat,3163,Germany,,,,
2010,Volkswagen ,Volkswagen Polo,3310,Germany,,,,
2010,Volkswagen ,Volkswagen Tiguan,2252,Germany,,,,
2011,Audi ,Audi A4,2175,Germany,2488,23878,,
2011,BMW ,BMW X1,168,Germany,,,,
2011,BMW ,BMW X3,145,Germany,,,,
2011,Opel ,Opel Astra,2168,Germany,2168,,,
2011,Skoda ,Skoda Octavia,2257,Germany,2257,,,
2011,Volkswagen ,Volkswagen Golf,7370,Germany,16965,,,
2011,Volkswagen ,Volkswagen Passat,3269,Germany,,,,
2011,Volkswagen ,Volkswagen Polo,3301,Germany,,,,
2011,Volkswagen ,Volkswagen Tiguan,2158,Germany,,,,
2011,Volkswagen ,Volkswagen Touran,867,Germany,,,,
2012,Audi ,Audi A4,1543,Germany,4230,23618,,
2012,Audi ,Audi Q3,159,Germany,,,,
2012,BMW ,BMW 1-serie,133,Germany,,,,
2012,BMW ,BMW 3-serie,358,Germany,,,,
2012,BMW ,BMW X3,2037,Germany,,,,
2012,Mercedes-Benz ,Mercedes-Benz A-klasse,131,Germany,586,,,
2012,Mercedes-Benz ,Mercedes-Benz B-klasse,309,Germany,,,,
2012,Mercedes-Benz ,Mercedes-Benz C-klasse,146,Germany,,,,
2012,Skoda ,Skoda Octavia,2219,Germany,2476,,,
2012,Skoda ,Skoda Superb,257,Germany,,,,
2012,Volkswagen ,Volkswagen Golf,6313,Germany,16326,,,
2012,Volkswagen ,Volkswagen Passat,3290,Germany,,,,
2012,Volkswagen ,Volkswagen Polo,3179,Germany,,,,
2012,Volkswagen ,Volkswagen Tiguan,3336,Germany,,,,
2012,Volkswagen ,Volkswagen up!,208,Germany,,,,
2013,Audi ,Audi A3,1211,Germany,6541,26233,,
2013,Audi ,Audi A4,2179,Germany,,,,
2013,Audi ,Audi Q3,59,Germany,,,,
2013,BMW ,BMW 1-serie,740,Germany,,,,
2013,BMW ,BMW 3-serie,1192,Germany,,,,
2013,BMW ,BMW X1,65,Germany,,,,
2013,BMW ,BMW X3,1095,Germany,,,,
