Year,Make,Model,Quantity,Country
2010,Audi ,Audi A3,635,Germany
2013,Audi ,Audi A3,1211,Germany
2014,Audi ,Audi A3,2151,Germany
2015,Audi ,Audi A3,2419,Germany
2016,Audi ,Audi A3,3233,Germany
2010,Audi ,Audi A4,3276,Germany
2011,Audi ,Audi A4,2175,Germany
2012,Audi ,Audi A4,1543,Germany
2013,Audi ,Audi A4,2179,Germany
2016,Audi ,Audi A4,1128,Germany
2012,Audi ,Audi Q3,159,Germany
2013,Audi ,Audi Q3,59,Germany
2012,BMW ,BMW 1-serie,133,Germany
2013,BMW ,BMW 1-serie,740,Germany
2015,BMW ,BMW 2-serie,48,Germany
2016,BMW ,BMW 2-serie,1433,Germany
2012,BMW ,BMW 3-serie,358,Germany
2013,BMW ,BMW 3-serie,1192,Germany
2014,BMW ,BMW 3-serie,2235,Germany
2015,BMW ,BMW 3-serie,254,Germany
2016,BMW ,BMW 3-serie,823,Germany
2014,BMW ,BMW i3,2336,Germany
2015,BMW ,BMW i3,1109,Germany
2016,BMW ,BMW i3,2094,Germany
2011,BMW ,BMW X1,168,Germany
2013,BMW ,BMW X1,65,Germany
2015,BMW ,BMW X1,98,Germany
2016,BMW ,BMW X1,1018,Germany
2011,BMW ,BMW X3,145,Germany
2012,BMW ,BMW X3,2037,Germany
2013,BMW ,BMW X3,1095,Germany
2014,BMW ,BMW X3,386,Germany
2015,BMW ,BMW X3,309,Germany
2016,BMW ,BMW X3,441,Germany
2015,BMW ,BMW X5,59,Germany
2016,BMW ,BMW X5,770,Germany
2010,Ford ,Ford Fiesta,3308,U.S.A
2013,Ford ,Ford Fiesta,251,U.S.A
2015,Ford ,Ford Fiesta,205,U.S.A
2016,Ford ,Ford Fiesta,501,U.S.A
2010,Ford ,Ford Focus,1766,U.S.A
2011,Ford ,Ford Focus,3021,U.S.A
2012,Ford ,Ford Focus,2551,U.S.A
2013,Ford ,Ford Focus,3017,U.S.A
2014,Ford ,Ford Focus,2066,U.S.A
2015,Ford ,Ford Focus,3143,U.S.A
2016,Ford ,Ford Focus,541,U.S.A
2012,Ford ,Ford Kuga,114,U.S.A
2013,Ford ,Ford Kuga,571,U.S.A
2014,Ford ,Ford Kuga,152,U.S.A
2015,Ford ,Ford Kuga,347,U.S.A
2016,Ford ,Ford Kuga,396,U.S.A
2010,Ford ,Ford Mondeo,2426,U.S.A
2011,Ford ,Ford Mondeo,2845,U.S.A
2012,Ford ,Ford Mondeo,2182,U.S.A
2013,Ford ,Ford Mondeo,548,U.S.A
2015,Ford ,Ford Mondeo,2124,U.S.A
2016,Ford ,Ford Mondeo,1211,U.S.A
2012,Ford ,Ford S-Max,140,U.S.A
2013,Ford ,Ford S-Max,101,U.S.A
2015,Ford ,Ford S-Max,121,U.S.A
2016,Ford ,Ford S-Max,953,U.S.A
2012,Honda ,Honda CR-V,238,Japan
2013,Honda ,Honda CR-V,2204,Japan
2013,Hyundai ,Hyundai i20,233,Korea
2015,Hyundai ,Hyundai i20,417,Korea
