Column1,Column2,Number
1.12E+01,-1.28E+02,1
2.01E+00,-3.45E+01,2
-1.42E+01,9.84E+01,3
-1.62E+00,2.11E+02,4
-6.40E+00,-1.40E+02,5
-1.54E+01,-3.62E+01,6
-3.44E+01,1.06E+02,7
-3.64E+01,2.18E+02,8
-5.62E+01,2.20E+02,9
2.42E+01,-1.31E+02,10
1.30E+01,-3.35E+01,11
-2.71E-01,1.05E+02,12
-8.24E+00,2.18E+02,13
2.01E+01,-2.63E+02,14
4.03E+01,-2.50E+02,15
-2.48E+01,-4.90E+01,16
1.41E+01,-2.63E+02,17
3.18E+01,-2.51E+02,18
-1.75E+01,-4.85E+01,19
-1.30E+02,4.76E+01,20
8.16E+00,-2.02E+02,21
-1.74E+00,-9.59E+01,22
-2.43E+01,4.29E+01,23
-6.20E+01,1.55E+02,24
-1.06E+01,-2.03E+02,25
-2.66E+01,-2.90E+01,26
-9.87E+00,-1.93E+02,27
-2.79E+01,2.39E+00,28
7.75E+00,-1.62E+02,29
-6.75E+00,7.74E-01,30
-2.78E+01,-1.31E+02,31
-4.73E+01,4.94E+01,32
6.19E+01,-1.44E+02,33
3.64E+01,1.68E+01,34
2.53E+01,-1.74E+02,35
1.25E+01,-7.66E+01,36
-3.13E+00,7.48E+01,37
1.25E+01,-1.78E+02,38
2.26E+00,-7.75E+01,39
-1.74E+01,7.41E+01,40
2.81E+01,-1.22E+02,41
3.92E+00,5.19E+01,42
-6.35E+00,-1.52E+02,43
-2.71E+01,7.37E+01,44
8.89E+01,-1.80E+02,45
7.85E+01,2.22E+00,46
9.13E+00,-2.09E+02,47
-1.40E+01,1.76E+01,48
3.14E+01,-1.24E+02,49
2.17E+01,-4.31E+01,50
9.03E+00,6.28E+01,51
4.06E+01,-1.62E+02,52
4.06E+01,-3.01E+01,53
2.05E+01,-1.42E+02,54
-2.51E+01,1.13E+01,55
-4.31E+01,-1.94E+02,56
-6.10E+01,-4.20E+01,57
-2.67E+01,-1.65E+02,58
-4.41E+01,-2.55E+00,59
2.70E+00,-1.26E+02,60
-1.89E+01,6.85E+01,61
-1.87E+01,-1.46E+02,62
