IncidentDate,State,CityorCounty,Address,Killed,Injured
2013-12,"New York",Brooklyn,"60 Glenmore Ave",0,6
2013-12,Alabama,Montgomery,"954 Highland Ave",3,5
2013-12,Louisiana,Slidell,"2144 First St",2,6
2013-12,Louisiana,Lockport,"313 Tenth St",3,3
2013-12,"New Jersey",Irvington,"Nye Avenue and 21st Street",3,2
2013-12,"New York",Medford,"33A Cedarhurst Ave",1,3
2013-12,Michigan,Muskegon,"2300 block of W McMillan Rd",1,3
2013-12,"North Carolina",Shelby,"Jose Street",0,4
2013-12,"New Jersey",Trenton,"Jersey Street and Home Avenue",1,4
2013-12,Florida,"Homestead (Florida City)","7th Avenue and 13th Terrace",1,3
2013-12,Texas,Channelview,"900 block of Ashland Boulevard",0,5
2013-12,"North Carolina",Statesville,"167 Wallace Springs",0,4
2013-12,Delaware,Wilmington,"3421 Kirkwood Hwy",0,4
2013-12,Kansas,Topeka,"1629 SW Central Park",4,0
2013-12,Florida,Miami,"NW 64th Street and 12th Avenue",2,2
2013-11,Michigan,Lansing,N/A,0,5
2013-11,Georgia,Valdosta,"Gordon Street and North Ashley Street",0,4
2013-11,California,Fresno,"Oleander and Modoc",0,4
2013-11,Indiana,Indianapolis,"3400 block of East 34th Street",0,4
2013-11,"New York",Rochester,"St. Paul Boulevard and Andrews Street",0,4
2013-11,Minnesota,Minneapolis,"1611 E Lake St",1,3
2013-11,California,Oakland,"96th Avenue and Olive Street",0,7
2013-11,Oklahoma,Tulsa,"Pine Street and Harvard Avenue",4,1
2013-11,Pennsylvania,Philadelphia,"1400 block of N. 60th Street",0,4
2013-11,Texas,Houston,"8200 block of Sunbury",3,2
2013-11,Texas,Houston,"4400 block of Tiffany",1,3
2013-11,"New York",Brooklyn,"318 Maujer St",4,1
2013-11,Ohio,Canton,"1215 Tuscarawas St W",1,3
2013-11,Arizona,Phoenix,"5800 South 53rd Glen",1,3
2013-11,Texas,Cypress,"7300 block of Enchanted Creek Drive",2,16
