id,assists,deaths,kills,xpm,gpm,win,kda
1,18,8,5,470,475,1,2.875
2,12,4,9,600,471,-1,5.25
3,16,6,9,566,504,1,4.167
4,20,5,10,624,563,1,6
5,12,12,2,441,393,-1,1.167
6,9,9,6,616,420,-1,1.667
7,22,6,11,568,559,-1,5.5
8,11,3,11,514,495,1,7.333
9,19,10,11,596,501,1,3
11,18,2,17,721,657,1,17.5
12,15,3,9,520,456,1,8
13,9,2,8,490,512,1,8.5
15,11,6,16,672,652,1,4.5
16,3,5,6,615,511,-1,1.8
17,13,6,4,574,532,1,2.833
18,9,5,3,510,445,-1,2.4
19,13,2,7,545,542,1,10
20,15,3,10,502,589,1,8.333
21,18,6,16,644,570,1,5.667
22,7,4,3,484,398,-1,2.5
23,4,7,2,300,293,-1,0.857
24,5,3,6,457,500,-1,3.667
25,10,1,4,540,507,1,14
26,12,5,4,409,565,1,3.2
27,18,6,3,475,518,1,3.5
28,19,6,11,528,569,1,5
29,9,1,5,421,522,1,14
30,8,1,8,490,527,1,16
31,6,8,9,425,393,-1,1.875
32,2,5,1,339,378,-1,0.6
33,11,10,4,268,424,-1,1.5
34,14,1,3,426,590,-1,17
35,7,1,3,493,620,1,10
36,15,1,4,570,606,1,19
37,11,9,4,432,419,-1,1.667
38,11,3,6,420,387,1,5.667
39,7,6,6,442,397,-1,2.167
40,15,6,1,359,398,1,2.667
41,7,8,6,379,433,-1,1.625
42,10,10,3,484,495,-1,1.3
43,4,7,3,335,340,-1,1
45,13,8,5,526,493,1,2.25
47,2,3,7,403,466,-1,3
48,10,4,8,486,532,1,4.5
49,27,7,8,560,551,1,5
51,10,5,6,410,534,1,3.2
52,7,8,3,393,417,-1,1.25
53,15,4,5,554,572,1,5
55,15,2,6,577,503,1,10.5
56,18,6,2,469,416,1,3.333
58,13,7,2,500,475,-1,2.143
59,10,7,9,515,533,-1,2.714
60,18,3,7,574,527,1,8.333
61,13,7,9,516,445,1,3.143
62,1,9,3,255,294,-1,0.444
63,14,3,5,623,569,1,6.333
64,10,9,7,477,428,-1,1.889
65,10,4,7,512,496,1,4.25
66,2,4,6,473,509,-1,2
67,6,1,10,600,642,1,16
68,6,6,4,573,446,-1,1.667
70,10,2,10,457,538,1,10
71,19,5,9,530,472,1,5.6
72,13,6,5,427,453,1,3
73,6,1,14,634,599,1,20
74,8,8,2,290,273,-1,1.25
75,10,8,5,441,393,-1,1.875
76,8,3,4,541,458,1,4
77,18,3,7,488,652,1,8.333
78,10,1,11,650,686,1,21
79,10,1,3,493,450,1,13
80,20,5,10,560,582,1,6
81,18,7,8,537,569,1,3.714
82,13,2,8,489,461,1,10.5
83,14,2,7,508,487,1,10.5
84,10,2,10,599,715,1,10
85,19,2,3,504,497,1,11
86,17,6,8,589,581,1,4.167
87,6,4,7,399,409,-1,3.25
88,12,1,9,625,558,1,21
89,9,8,3,259,264,-1,1.5
90,13,6,7,491,469,1,3.333
91,5,6,3,406,368,-1,1.333
92,14,1,2,565,720,1,16
94,19,4,8,498,534,1,6.75
95,18,8,7,542,428,1,3.125
96,3,6,2,306,347,-1,0.833
97,19,4,7,437,488,1,6.5
98,14,7,4,473,384,1,2.571
99,9,2,11,515,522,1,10
100,5,5,2,389,367,-1,1.4
101,15,4,7,590,482,-1,5.5
102,8,7,11,579,781,-1,2.714
104,10,3,6,514,531,1,5.333
105,6,9,1,336,306,-1,0.778
106,6,6,14,466,462,-1,3.333
108,4,4,13,600,613,1,4.25
109,15,2,5,541,479,1,10
110,5,8,4,481,455,-1,1.125
112,14,4,6,538,521,1,5
113,21,5,14,615,556,1,7
114,4,6,2,451,414,-1,1
115,17,3,20,680,631,1,12.333
116,16,3,5,528,535,1,7
117,14,4,3,559,565,-1,4.25
119,13,5,17,585,556,1,6
120,17,7,4,536,368,-1,3
121,3,3,2,376,371,-1,1.667
123,8,3,11,585,500,1,6.333
124,7,1,5,561,701,1,12
125,7,2,17,618,612,1,12
126,7,3,3,487,636,1,3.333
128,8,2,3,615,639,1,5.5
129,6,1,8,509,522,1,14
130,7,7,10,630,548,-1,2.429
131,3,7,8,400,404,-1,1.571
132,6,3,8,583,577,1,4.667
133,13,3,4,561,634,1,5.667
134,15,8,15,534,499,1,3.75
135,16,5,7,514,439,1,4.6
136,10,2,4,407,427,1,7
137,16,5,9,586,565,1,5
138,4,5,5,494,433,-1,1.8
139,4,4,1,327,315,-1,1.25
140,13,2,9,568,491,1,11
141,7,4,5,693,592,1,3
142,30,12,11,596,606,1,3.417
143,8,8,3,612,432,-1,1.375
144,11,5,15,739,586,1,5.2
145,6,6,5,470,410,-1,1.833
146,6,2,7,715,579,1,6.5
147,18,1,3,636,549,1,21
148,9,4,9,633,589,1,4.5
149,19,7,9,568,491,1,4
150,12,8,3,426,348,-1,1.875
152,9,3,11,764,619,1,6.667
153,9,3,7,473,431,1,5.333
154,6,2,12,483,523,1,9
156,8,5,7,626,410,1,3
