"","DataSet","n","GeneSymbol","GeneID","GeneName","Chr","FoldChange","Regulation","FDR","Location","Type","Depleted","SCNT","miNT","TSA","FoldChange_allR"
"1","Srirattana2017_TS3",6,"FREM1","NM_001192995.1","FRAS1 related extracellular matrix 1","8",15.63554,"Up",0.00285013,"Undetermined","other",1,1,0,1,15.63554
"2","Srirattana2017_TS3",6,"CLDN8","NM_001098096.1","Claudin 8","1",14.86327,"Up",0.004227155,"Undetermined","other",1,1,0,1,14.86327
"3","Srirattana2017_TS3",6,"TMEM38A","NM_001083463.1","Transmembrane protein 38A","7",8.306495,"Up",0.014774177,"Undetermined","ion channel",1,1,0,1,8.306495
"4","Srirattana2017_TS3",6,"NGFR","NM_001102478.2","Nerve growth factor receptor","19",24.10004,"Down",0.014774177,"Undetermined","transmembrane receptor",1,1,0,1,-24.10004
"5","Srirattana2017_TS3",6,"RASSF5","NM_001113760.2","Ras association (RalGDS/AF-6) domain family member 5","16",7.589196,"Down",0.006665638,"Undetermined","other",1,1,0,1,-7.589196
"6","Srirattana2017_TS3",6,"KANK2","NM_001076531.1","KN motif and ankyrin repeat domains 2","7",4.769194,"Down",0.014774177,"Undetermined","transcription regulator",1,1,0,1,-4.769194
"7","Srirattana2017_TS4",10,"UPP1","NM_001098976.2","Uridine phosphorylase 1","4",265.9733,"Up",0.0475261,"Undetermined","enzyme",0,1,0,0,265.9733
"8","Srirattana2017_TS4",10,"ACVRL1","NM_001083479.1","Activin A receptor type IL","5",184.9281,"Up",0.0475261,"Undetermined","transmembrane receptor",0,1,0,0,184.9281
"9","Srirattana2017_TS4",10,"CD74","NM_001034735.1","CD74 molecule, major histocompatibility complex, class II invariant chain","7",28.98734,"Up",3.112e-06,"Undetermined","transmembrane receptor",0,1,0,0,28.98734
"10","Srirattana2017_TS4",10,"NGFR","NM_001102478.2","Nerve growth factor receptor","19",28.33119,"Up",0.0077679,"Undetermined","transmembrane receptor",0,1,0,0,28.33119
"11","Srirattana2017_TS4",10,"NID1","NM_001101155.1","Nidogen 1","28",7.909143,"Up",0.00449,"Undetermined","other",0,1,0,0,7.909143
"12","Srirattana2017_TS4",10,"TMEM8A","NM_001098907.1","Transmembrane protein 8A","25",4.36431,"Up",0.0343189,"Undetermined","other",0,1,0,0,4.36431
"13","Srirattana2017_TS4",10,"KANK2","NM_001076531.1","KN motif and ankyrin repeat domains 2","7",4.302433,"Up",0.0399683,"Undetermined","transcription regulator",0,1,0,0,4.302433
"14","Srirattana2017_TS4",10,"ADAM19","NM_001075475.2","ADAM metallopeptidase domain 19","7",3.206549,"Up",0.0027929,"Undetermined","peptidase",0,1,0,0,3.206549
"15","Srirattana2017_TS4",10,"LOC615263","NM_001103298.1","Uncharacterized LOC615263","2",2.98966,"Down",0.0388899,"Undetermined",NA,0,1,0,0,-2.98966
"16","Srirattana2017_TS4",10,"REV3L","NM_001206172.1","REV3-like, polymerase (DNA directed), zeta, catalytic subunit","9",2.219812,"Down",0.022835,"Undetermined","enzyme",0,1,0,0,-2.219812
"17","Srirattana2017_TS5",14,"C15H11orf34","NM_001113538.1","Chromosome 15 open reading frame, human C11orf34","15",7.815559,"Up",0.029765401,"Undetermined",NA,1,1,0,0,7.815559
"18","Srirattana2017_TS5",14,"LOC615263","NM_001103298.1","Uncharacterized LOC615263","2",3.888634,"Up",0.001795205,"Undetermined",NA,1,1,0,0,3.888634
"19","Srirattana2017_TS5",14,"REV3L","NM_001206172.1","REV3-like, polymerase (DNA directed), zeta, catalytic subunit","9",2.522063,"Up",0.001795205,"Undetermined","enzyme",1,1,0,0,2.522063
"20","Srirattana2017_TS5",14,"CA4","NM_173897.1","Carbonic anhydrase IV","19",329.08,"Down",0.003983779,"Undetermined","enzyme",1,1,0,0,-329.08
"21","Srirattana2017_TS5",14,"ZADH2","NM_001075964.1","Zinc binding alcohol dehydrogenase domain containing 2","24",78.20581,"Down",0.011132627,"Undetermined","enzyme",1,1,0,0,-78.20581
"22","Srirattana2017_TS5",14,"CLDN8","NM_001098096.1","Claudin 8","1",12.78876,"Down",0.003983779,"Undetermined","other",1,1,0,0,-12.78876
"23","Srirattana2017_TS5",14,"TMEM38A","NM_001083463.1","Transmembrane protein 38A","7",7.740737,"Down",0.011132627,"Undetermined","ion channel",1,1,0,0,-7.740737
"24","Srirattana2017_TS5",14,"C10H5orf13","NM_001105045.1","Chromosome 10 open reading frame, human C5orf13","10",5.096216,"Down",0.009116463,"Undetermined",NA,1,1,0,0,-5.096216
"25","Srirattana2017_TS5",14,"USP3","NM_001102123.1","Ubiquitin specific peptidase 3","10",3.985756,"Down",0.003983779,"Undetermined","other",1,1,0,0,-3.985756
"26","Srirattana2017_TS5",14,"HERC3","NM_001083663.1","HECT and RLD domain containing E3 ubiquitin protein ligase 3","6",3.596033,"Down",0.003983779,"Undetermined","enzyme",1,1,0,0,-3.596033
"27","Srirattana2017_TS5",14,"FKBP9","NM_001046372.2","FK506 binding protein 9","4",3.083186,"Down",0.002816989,"Undetermined","enzyme",1,1,0,0,-3.083186
"28","Srirattana2017_TS5",14,"DCXR","NM_001075891.1","Dicarbonyl/L-xylulose reductase","19",2.751082,"Down",0.009630171,"Undetermined","enzyme",1,1,0,0,-2.751082
"29","Srirattana2017_TS5",14,"SH3D21","NM_001162534.1","SH3 domain containing 21","3",2.420875,"Down",0.002816989,"Undetermined","other",1,1,0,0,-2.420875
"30","Srirattana2017_TS5",14,"FDPS","NM_177497.2","Farnesyl diphosphate synthase","3",2.361433,"Down",0.011132627,"Undetermined","enzyme",1,1,0,0,-2.361433
"31","Srirattana2017_TS6",35,"ADCY1","NM_174229.2","Adenylate cyclase type 1","4",263.7949,"Up",0.0120854,"Undetermined","enzyme",0,1,0,1,263.7949
"32","Srirattana2017_TS6",35,"ZMAT5","NM_001038210.2","Zinc finger, matrin-type 5","17",62.57095,"Up",0.0465148,"Undetermined","other",0,1,0,1,62.57095
"33","Srirattana2017_TS6",35,"FMR1NB","NM_001102262.2","Fragile X mental retardation 1 neighbor","X",13.86671,"Up",0.0131447,"Undetermined","other",0,1,0,1,13.86671
"34","Srirattana2017_TS6",35,"MAEL","NM_001038193.2","Maelstrom spermatogenic transposon silencer","3",5.659821,"Up",0.0498753,"Undetermined","other",0,1,0,1,5.659821
"35","Srirattana2017_TS6",35,"INO80E","NM_001046544.1","INO80 complex subunit E","25",5.54002,"Up",0.0107789,"Undetermined","other",0,1,0,1,5.54002
"36","Srirattana2017_TS6",35,"CLDN10","NM_001014857.1","Claudin 10","12",5.104958,"Up",0.0498753,"Undetermined","other",0,1,0,1,5.104958
"37","Srirattana2017_TS6",35,"CHN2","NM_001045963.2","Chimerin 2","4",4.724665,"Up",0.0490729,"Undetermined","other",0,1,0,1,4.724665
"38","Srirattana2017_TS6",35,"GLDC","NM_001192951.1","Glycine dehydrogenase (decarboxylating)","8",3.693757,"Up",0.0310215,"Undetermined","enzyme",0,1,0,1,3.693757
"39","Srirattana2017_TS6",35,"CITED2","NM_001075819.1","Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2","9",2.115691,"Up",0.0498753,"Undetermined","transcription regulator",0,1,0,1,2.115691
"40","Srirattana2017_TS6",35,"REV3L","NM_001206172.1","REV3-like, polymerase (DNA directed), zeta, catalytic subunit","9",2.074906,"Up",0.0271372,"Undetermined","enzyme",0,1,0,1,2.074906
"41","Srirattana2017_TS6",35,"SLC6A6","NM_174610.2","Solute carrier family 6 (neurotransmitter transporter), member 6","22",934.6827,"Down",0.0088673,"Undetermined","transporter",0,1,0,1,-934.6827
"42","Srirattana2017_TS6",35,"UPP1","NM_001098976.2","Uridine phosphorylase 1","4",437.8524,"Down",0.0120854,"Undetermined","enzyme",0,1,0,1,-437.8524
"43","Srirattana2017_TS6",35,"DNASE1L3","NM_001205724.1","Deoxyribonuclease I-like 3","22",111.5236,"Down",0.0055903,"Undetermined","enzyme",0,1,0,1,-111.5236
"44","Srirattana2017_TS6",35,"TKDP1","NM_205776.1","Trophoblast Kunitz domain protein 1","13",54.45196,"Down",0.0373791,"Undetermined",NA,0,1,0,1,-54.45196
"45","Srirattana2017_TS6",35,"CA4","NM_173897.1","Carbonic anhydrase IV","19",39.48189,"Down",0.0498753,"Undetermined","enzyme",0,1,0,1,-39.48189
"46","Srirattana2017_TS6",35,"NGFR","NM_001102478.2","Nerve growth factor receptor","19",28.33934,"Down",0.006845,"Undetermined","transmembrane receptor",0,1,0,1,-28.33934
"47","Srirattana2017_TS6",35,"ENTPD1","NM_174536.2","Ectonucleoside triphosphate diphosphohydrolase 1","26",15.55199,"Down",0.0055903,"Undetermined","enzyme",0,1,0,1,-15.55199
"48","Srirattana2017_TS6",35,"ENPP3","NM_001075923.2","Ectonucleotide pyrophosphatase/phosphodiesterase 3","9",12.09189,"Down",0.0498753,"Undetermined","enzyme",0,1,0,1,-12.09189
"49","Srirattana2017_TS6",35,"NANOG","NM_001025344.1","Nanog homeobox","5",11.23455,"Down",0.0167144,"Undetermined","transcription regulator",0,1,0,1,-11.23455
