DataSet,n,GeneSymbol,GeneID,GeneName,Chr,FoldChange,Regulation,FDR,Location,Type,Depleted,SCNT,miNT,TSA
Srirattana2017_TS3,6,FREM1,NM_001192995.1,FRAS1 related extracellular matrix 1,8,15.63554,Up,0.00285013,,other,1,1,0,1
Srirattana2017_TS3,6,CLDN8,NM_001098096.1,Claudin 8,1,14.86327,Up,0.004227155,,other,1,1,0,1
Srirattana2017_TS3,6,TMEM38A,NM_001083463.1,Transmembrane protein 38A,7,8.306495,Up,0.014774177,,ion channel,1,1,0,1
Srirattana2017_TS3,6,NGFR,NM_001102478.2,Nerve growth factor receptor,19,24.10004,Down,0.014774177,,transmembrane receptor,1,1,0,1
Srirattana2017_TS3,6,RASSF5,NM_001113760.2,Ras association (RalGDS/AF-6) domain family member 5,16,7.589196,Down,0.006665638,,other,1,1,0,1
Srirattana2017_TS3,6,KANK2,NM_001076531.1,KN motif and ankyrin repeat domains 2,7,4.769194,Down,0.014774177,,transcription regulator,1,1,0,1
Srirattana2017_TS4,10,UPP1,NM_001098976.2,Uridine phosphorylase 1,4,265.9733,Up,0.0475261,,enzyme,0,1,0,0
Srirattana2017_TS4,10,ACVRL1,NM_001083479.1,Activin A receptor type IL,5,184.9281,Up,0.0475261,,transmembrane receptor,0,1,0,0
Srirattana2017_TS4,10,CD74,NM_001034735.1,"CD74 molecule, major histocompatibility complex, class II invariant chain",7 ,28.98734,Up,3.112E-06,,transmembrane receptor,0,1,0,0
Srirattana2017_TS4,10,NGFR,NM_001102478.2,Nerve growth factor receptor,19,28.33119,Up,0.0077679,,transmembrane receptor,0,1,0,0
Srirattana2017_TS4,10,NID1,NM_001101155.1,Nidogen 1,28,7.909143,Up,0.00449,,other,0,1,0,0
Srirattana2017_TS4,10,TMEM8A,NM_001098907.1,Transmembrane protein 8A,25,4.36431,Up,0.0343189,,other,0,1,0,0
Srirattana2017_TS4,10,KANK2,NM_001076531.1,KN motif and ankyrin repeat domains 2,7,4.302433,Up,0.0399683,,transcription regulator,0,1,0,0
Srirattana2017_TS4,10,ADAM19,NM_001075475.2,ADAM metallopeptidase domain 19,7,3.206549,Up,0.0027929,,peptidase,0,1,0,0
Srirattana2017_TS4,10,LOC615263,NM_001103298.1,Uncharacterized LOC615263,2,2.98966,Down,0.0388899,,NA,0,1,0,0
Srirattana2017_TS4,10,REV3L,NM_001206172.1,"REV3-like, polymerase (DNA directed), zeta, catalytic subunit",9,2.219812,Down,0.022835,,enzyme,0,1,0,0
