Gene,Refseq,chr,start,end,strand,siNup153,siNup93,DamID_Nup153,DamID_Nup93,DamID_Class,siNup_any,siRNA_Class,siRNA_bool,DamID_bool,siNup93_expr,siNup93_bool,siNup153_expr,siNup153_bool,chr_loci,incl_nup_si_dam
DDX11L1,NR_046018,1,11874,14409,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000011874,TRUE
WASH7P,NR_024540,1,14362,29370,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.000014362,TRUE
MIR6859-1,NR_106918,1,17369,17436,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000017369,TRUE
MIR6859-2,NR_107062,1,17369,17436,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000017369,TRUE
MIR6859-3,NR_107063,1,17369,17436,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000017369,TRUE
MIR6859-4,NR_128720,1,17369,17436,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000017369,TRUE
MIR1302-10,NR_036267,1,30366,30503,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000030366,TRUE
FAM138A,NR_026818,1,34611,36081,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000034611,TRUE
FAM138F,NR_026820,1,34611,36081,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000034611,TRUE
OR4F5,NM_001005484,1,69091,70008,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000069091,TRUE
LOC729737,NR_039983,1,134773,140566,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000134773,TRUE
LOC100132062,NR_028325,1,323892,328581,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000323892,TRUE
LOC100132287,NR_028322,1,323892,328581,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000323892,TRUE
LOC101928626,NR_125957,1,562760,564389,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00056276,TRUE
MIR6723,NR_106781,1,567705,567793,-,0,0,1,0,2,0,0,0,1,none,0,none,0,1.000567705,TRUE
OR4F16,NM_001005277,1,621096,622034,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000621096,TRUE
OR4F29,NM_001005221,1,621096,622034,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000621096,TRUE
OR4F3,NM_001005224,1,621096,622034,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000621096,TRUE
LOC100133331,NR_028327,1,661139,665731,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000661139,TRUE
LOC100288069,NR_033908,1,700245,714068,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000700245,TRUE
FAM87B,NR_103536,1,752751,755214,+,0,0,1,0,2,0,0,0,1,none,0,none,0,1.000752751,TRUE
LINC00115,NR_024321,1,761586,762902,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000761586,TRUE
LINC01128,NR_047521,1,762971,794826,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000762971,TRUE
FAM41C,NR_027055,1,803451,812182,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000803451,TRUE
LOC100130417,NR_122045,1,852198,855072,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.000852198,TRUE
SAMD11,NM_152486,1,861121,879961,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.000861121,TRUE
NOC2L,NM_015658,1,879583,894679,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000879583,TRUE
KLHL17,NM_198317,1,895967,901099,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000895967,TRUE
PLEKHN1,NM_001160184,1,901877,910484,+,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.000901877,TRUE
PERM1,NM_001291366,1,910579,917497,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000910579,TRUE
HES4,NM_021170,1,934342,935552,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.000934342,TRUE
ISG15,NM_005101,1,948847,949919,+,1,1,0,0,0,1,0,0,0,change,1,change,1,1.000948847,TRUE
AGRN,NM_198576,1,955503,991499,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.000955503,TRUE
RNF223,NM_001205252,1,1007126,1009687,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001007126,TRUE
C1orf159,NM_017891,1,1017198,1051736,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001017198,TRUE
LINC01342,NR_038869,1,1072397,1079434,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001072397,TRUE
MIR200B,NR_029639,1,1102484,1102578,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001102484,TRUE
MIR200A,NR_029834,1,1103243,1103332,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001103243,TRUE
MIR429,NR_029957,1,1104385,1104467,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001104385,TRUE
TTLL10,NM_001130045,1,1109286,1133313,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001109286,TRUE
TNFRSF18,NM_004195,1,1138888,1142089,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001138888,TRUE
TNFRSF4,NM_003327,1,1146706,1149548,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001146706,TRUE
SDF4,NM_016176,1,1152288,1167447,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001152288,TRUE
B3GALT6,NM_080605,1,1167629,1170420,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001167629,TRUE
FAM132A,NM_001014980,1,1177826,1182102,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001177826,TRUE
UBE2J2,NM_194315,1,1189292,1209234,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001189292,TRUE
SCNN1D,NR_037668,1,1215816,1227409,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001215816,TRUE
ACAP3,NM_030649,1,1227764,1243269,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001227764,TRUE
MIR6726,NR_106784,1,1231490,1231550,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00123149,TRUE
PUSL1,NM_153339,1,1243994,1247057,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001243994,TRUE
CPSF3L,NM_001256460,1,1246965,1260067,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001246965,TRUE
MIR6727,NR_106785,1,1247882,1247946,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001247882,TRUE
CPTP,NM_001029885,1,1260143,1264276,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001260143,TRUE
TAS1R3,NM_152228,1,1266726,1269844,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001266726,TRUE
DVL1,NM_004421,1,1270658,1284492,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001270658,TRUE
MIR6808,NR_106866,1,1275030,1275088,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00127503,TRUE
MXRA8,NM_001282582,1,1288069,1298921,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001288069,TRUE
AURKAIP1,NM_017900,1,1309110,1310818,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00130911,TRUE
CCNL2,NM_030937,1,1321091,1334718,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001321091,TRUE
LOC148413,NR_015434,1,1334910,1337426,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.00133491,TRUE
MRPL20,NM_017971,1,1337276,1342693,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001337276,TRUE
ANKRD65,NM_001243535,1,1353800,1356824,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.0013538,TRUE
TMEM88B,NM_001146685,1,1361508,1363167,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001361508,TRUE
LOC102724312,NR_125995,1,1365537,1369953,-,-1,-1,0,0,0,1,3,1,0,change,1,change,1,1.001365537,TRUE
VWA1,NM_199121,1,1370903,1378262,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001370903,TRUE
ATAD3C,NM_001039211,1,1385069,1405538,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001385069,TRUE
ATAD3B,NM_031921,1,1407164,1431582,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001407164,TRUE
ATAD3A,NM_018188,1,1447523,1470067,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001447523,TRUE
TMEM240,NM_001114748,1,1470158,1475740,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001470158,TRUE
SSU72,NM_014188,1,1477053,1510262,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001477053,TRUE
C1orf233,NM_001242659,1,1533388,1535476,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001533388,TRUE
MIB2,NM_001170688,1,1550795,1565990,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001550795,TRUE
MMP23B,NM_006983,1,1567560,1570030,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00156756,TRUE
MMP23A,NR_002946,1,1568159,1570027,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001568159,TRUE
CDK11B,NM_033486,1,1570603,1655859,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001570603,TRUE
SLC35E2B,NM_001290264,1,1592939,1624243,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001592939,TRUE
CDK11A,NM_024011,1,1634170,1655791,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.00163417,TRUE
SLC35E2,NM_001199787,1,1656277,1677438,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001656277,TRUE
NADK,NM_001198994,1,1682671,1711508,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001682671,TRUE
GNB1,NM_002074,1,1716724,1822556,-,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.001716724,TRUE
CALML6,NM_138705,1,1846266,1848733,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001846266,TRUE
TMEM52,NM_178545,1,1849029,1850740,-,0,1,0,1,1,1,0,0,1,change,1,none,0,1.001849029,TRUE
CFAP74,NM_001304360,1,1853390,1935276,-,-1,0,0,0,0,1,2,1,0,none,0,change,1,1.00185339,TRUE
GABRD,NM_000815,1,1950768,1962192,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001950768,TRUE
PRKCZ,NM_002744,1,1981909,2116834,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.001981909,TRUE
FAAP20,NM_001146310,1,2115899,2139172,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002115899,TRUE
SKI,NM_003036,1,2160134,2241652,+,0,-1,0,0,0,1,1,1,0,change,1,none,0,1.002160134,TRUE
MORN1,NM_024848,1,2252692,2323190,-,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002252692,TRUE
LOC100129534,NR_024489,1,2281853,2284100,-,1,0,0,0,0,1,0,0,0,none,0,change,1,1.002281853,TRUE
RER1,NM_007033,1,2323214,2336885,+,0,0,0,0,0,0,0,0,0,none,0,none,0,1.002323214,TRUE
