Total,Attack,Defense,Sp. Atk,Sp. Def
318,49,49,65,65
405,62,63,80,80
525,82,83,100,100
625,100,123,122,120
309,52,43,60,50
405,64,58,80,65
534,84,78,109,85
634,130,111,130,85
634,104,78,159,115
314,48,65,50,64
405,63,80,65,80
530,83,100,85,105
630,103,120,135,115
195,30,35,20,20
205,20,55,25,25
395,45,50,90,80
195,35,30,20,20
205,25,50,25,25
395,90,40,45,80
495,150,40,15,80
251,45,40,35,35
349,60,55,50,50
479,80,75,70,70
579,80,80,135,80
253,56,35,25,35
413,81,60,50,70
262,60,30,31,31
442,90,65,61,61
288,60,44,40,54
438,85,69,65,79
320,55,40,50,50
485,90,55,90,80
300,75,85,20,30
450,100,110,45,55
275,47,52,40,40
365,62,67,55,55
505,92,87,75,85
273,57,40,40,40
365,72,57,55,55
505,102,77,85,75
323,45,48,60,65
483,70,73,95,90
299,41,40,50,65
505,76,75,81,100
270,45,20,45,25
435,70,45,85,50
245,45,35,30,40
455,80,70,65,75
320,50,55,75,65
395,65,70,85,75
490,80,85,110,90
285,70,55,45,55
405,95,80,60,80
305,55,50,40,55
450,65,60,90,75
265,55,25,35,45
405,80,50,50,70
290,45,35,40,40
440,70,60,65,65
320,52,48,65,50
500,82,78,95,80
305,80,35,35,45
455,105,60,60,70
350,70,45,70,50
555,110,80,100,80
300,50,40,40,40
385,65,65,50,50
510,95,95,70,90
310,20,15,105,55
400,35,30,120,70
500,50,45,135,95
590,50,65,175,95
305,80,50,35,35
405,100,70,50,60
505,130,80,65,85
300,75,35,70,30
390,90,50,85,45
490,105,65,100,70
335,40,35,50,100
515,70,65,80,120
300,80,100,30,30
390,95,115,45,45
495,120,130,55,65
410,85,55,65,65
500,100,70,80,80
315,65,65,40,40
490,75,110,100,80
590,75,180,130,80
325,35,70,95,55
465,60,95,120,70
352,65,55,58,62
310,85,45,35,35
460,110,70,60,60
325,45,55,45,70
475,70,80,70,95
325,80,50,40,50
500,105,75,65,100
305,65,100,45,25
525,95,180,85,45
310,35,30,100,35
405,50,45,115,55
500,65,60,130,75
600,65,80,170,95
385,45,160,30,45
328,48,45,43,90
483,73,70,73,115
325,105,90,25,25
475,130,115,50,50
330,30,50,55,55
480,50,70,80,80
325,40,80,60,45
520,95,85,125,65
320,50,95,40,50
425,80,110,50,80
455,120,53,35,110
455,105,79,35,110
385,55,75,60,75
340,65,95,60,45
490,90,120,85,70
345,85,95,30,30
485,130,120,45,45
450,5,5,35,105
435,55,115,100,40
490,95,80,40,80
590,125,100,60,100
295,40,70,70,25
440,65,95,95,45
320,67,60,35,50
450,92,65,65,80
340,45,55,70,55
520,75,85,100,85
460,45,65,100,120
500,110,80,55,80
455,50,35,115,95
490,83,57,95,85
495,95,57,100,85
500,125,100,55,70
600,155,120,65,90
490,100,95,40,70
200,10,55,15,20
540,125,79,60,100
640,155,109,70,130
535,85,80,85,95
288,48,48,48,48
325,55,50,45,65
525,65,60,110,95
525,65,60,110,95
525,130,60,95,110
395,60,70,85,75
355,40,100,90,55
495,60,125,115,70
355,80,90,55,45
495,115,105,65,70
515,105,65,60,75
615,135,85,70,95
540,110,65,65,110
580,85,100,95,125
580,90,85,125,90
580,100,90,125,85
300,64,45,50,50
420,84,65,70,70
600,134,95,100,100
